question,segment_type,segment_description,answer,count,percentage
Best stories on Snapchat discover?,University,University of Memphis,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Memphis,People,0,0.0
Best stories on Snapchat discover?,University,University of Memphis,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Memphis,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Memphis,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Louisiana State University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Louisiana State University,Vice,0,0.0
Best stories on Snapchat discover?,University,Louisiana State University,Buzzfeed,1,1.0
Best stories on Snapchat discover?,University,Louisiana State University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Louisiana State University,People,0,0.0
Best stories on Snapchat discover?,University,Louisiana State University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Louisiana State University,Cosmo,0,0.0
Best stories on Snapchat discover?,University,Louisiana State University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,University of Victoria,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,University of Victoria,Vice,0,0.0
Best stories on Snapchat discover?,University,University of Victoria,Buzzfeed,1,1.0
Best stories on Snapchat discover?,University,University of Victoria,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,University of Victoria,People,0,0.0
Best stories on Snapchat discover?,University,University of Victoria,ESPN,0,0.0
Best stories on Snapchat discover?,University,University of Victoria,Cosmo,0,0.0
Best stories on Snapchat discover?,University,University of Victoria,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Western Kentucky University,Daily Mail,0,0.0
Best stories on Snapchat discover?,University,Western Kentucky University,Vice,0,0.0
Best stories on Snapchat discover?,University,Western Kentucky University,Buzzfeed,0,0.0
Best stories on Snapchat discover?,University,Western Kentucky University,Comedy Central,0,0.0
Best stories on Snapchat discover?,University,Western Kentucky University,People,0,0.0
Best stories on Snapchat discover?,University,Western Kentucky University,ESPN,0,0.0
Best stories on Snapchat discover?,University,Western Kentucky University,Cosmo,1,1.0
Best stories on Snapchat discover?,University,Western Kentucky University,Never watched those / other,0,0.0
Best stories on Snapchat discover?,University,Rice University,Daily Mail,1,0.5
Best stories on Snapchat discover?,University,Rice University,Vice,0,0.0
